"PRODUCT NUMBER","PRODUCT NAME","PRODUCT DESCRIPTION","PRODUCT BRAND","PRODUCT LINE","PRODUCT TYPE","PRODUCT COLOR","PRODUCT SIZE","INTRODUCTION DATE"
"5110","TrailChef Cook Set","All you will ever need on the trail.  Pot gripper and nylon carrying bag included.  1.5 and 2 liter pots with individual lids. Weight: 750 g.","TrailChef","Camping Equipment","Cooking Gear","Silver","6-piece","2001-02-15 00:00:00.000000"
"42110","Husky Rope 50","11 mm diameter standard rope. Length: 50 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.","Husky","Mountaineering Equipment","Rope","Red","50 m","2011-01-10 00:00:00.000000"
"43110","Husky Rope 60","11 mm diameter standard rope. Length: 60 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.","Husky","Mountaineering Equipment","Rope","Red","60 m","2011-01-10 00:00:00.000000"
"44110","Husky Rope 100","11 mm diameter standard rope. Length: 100 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.","Husky","Mountaineering Equipment","Rope","Blue","100 m","2011-01-10 00:00:00.000000"
"45110","Husky Rope 200","11 mm diameter standard rope. Length: 200 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16.","Husky","Mountaineering Equipment","Rope","Blue","200 m","2011-01-10 00:00:00.000000"
"46110","Granite Climbing Helmet","This UIAA approved helmet fits adults and kids, suitable for rock and alpine use.","Granite","Mountaineering Equipment","Safety","Orange","One-size","2011-01-10 00:00:00.000000"
"68250","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety.","Polar","Personal Accessories","Eyewear","Yellow","Men's","2011-01-01 00:00:00.000000"
"69110","Polar Ice","Polar Ice sunglasses have polarized lenses to combat glare from snow. Unbreakable nylon frame.","Polar","Personal Accessories","Eyewear","Black","Men's","2001-02-15 00:00:00.000000"
"69120","Polar Ice","Polar Ice sunglasses have polarized lenses to combat glare from snow. Unbreakable nylon frame.","Polar","Personal Accessories","Eyewear","Black","Women's","2011-01-01 00:00:00.000000"
"70110","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples.","Polar","Personal Accessories","Eyewear","Blue","Men's","2012-01-01 00:00:00.000000"
"70120","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples.","Polar","Personal Accessories","Eyewear","Blue","Women's","2012-01-01 00:00:00.000000"
"70140","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples.","Polar","Personal Accessories","Eyewear","Red","Men's","2012-01-01 00:00:00.000000"
"70160","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples.","Polar","Personal Accessories","Eyewear","Yellow","Men's","2012-01-01 00:00:00.000000"
"6110","TrailChef Deluxe Cook Set","Cascade set features 1, 2, and 3 liter pots with individual lids that double as fry pans or plates. Pot gripper and nylon carrying bag included.  Weight: 1.4 kg.","TrailChef","Camping Equipment","Cooking Gear","Silver","9-piece","2003-03-05 00:00:00.000000"
"7110","TrailChef Single Flame","A single burner stove with integral tank.  It features precise flame control so you will never have to settle for burnt camp food again.  Weight 624 g, fuel is white gas.","TrailChef","Camping Equipment","Cooking Gear","Silver","Single-burner","2001-02-15 00:00:00.000000"
"8110","TrailChef Double Flame","The TrailChef Double Flame is a camp stove which attaches directly to fuel canisters. Features precise flame control and a built-in windscreen.  Weight is 850 g, fuel is propane.","TrailChef","Camping Equipment","Cooking Gear","Green","Double-burner","2003-03-05 00:00:00.000000"
"9110","TrailChef Kettle","This old-fashioned style kettle is made of durable enamel.  Weight: 350g, Holds 1.5 liters.","TrailChef","Camping Equipment","Cooking Gear","Ash","1.5 liters","2003-03-05 00:00:00.000000"
"10110","TrailChef Utensils","Spoon, fork and knife set made of a light yet strong metal alloy.  Carrying pouch included.","TrailChef","Camping Equipment","Cooking Gear","Silver","4-piece","2001-02-15 00:00:00.000000"
"47110","Husky Harness","One size fits all due to extensive waist belt adjustment and fully adjustable leg loops.","Husky","Mountaineering Equipment","Safety","Black","One-size","2011-01-10 00:00:00.000000"
"48110","Husky Harness Extreme","One size fits all. Top of the range fully adjustable technical harness. Ultra high strength belay loop rated in excess of 30kN. Rear haul loop rated to 10kN.","Extreme","Mountaineering Equipment","Safety","Black","One-size","2011-01-10 00:00:00.000000"
"49110","Granite Signal Mirror","Day or night signal mirror with gridded sighting hole.  6mm laminated glass. Soft carrying case included. Size: 8 x 13 cm. Weight: 400 g.","Granite","Mountaineering Equipment","Safety","Grey","Small","2011-01-10 00:00:00.000000"
"50110","Granite Carabiner","Made from 12 mm rod stock aluminum and a radius suitable for almost any rope size. Locks tight with almost any belay/rappel combination. Individually tested.","Granite","Mountaineering Equipment","Climbing Accessories","Silver","12 mm","2011-01-10 00:00:00.000000"
"51110","Granite Belay","The Granite Belay is an ingenious single rope belay device that uses carabiner movement to brake the rope.","Granite","Mountaineering Equipment","Climbing Accessories","Black","Unspecified","2011-01-10 00:00:00.000000"
"70200","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples.","Polar","Personal Accessories","Eyewear","Red","Women's","2012-01-01 00:00:00.000000"
"70240","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples.","Polar","Personal Accessories","Eyewear","Silver","Men's","2003-03-05 00:00:00.000000"
"70250","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples.","Polar","Personal Accessories","Eyewear","Yellow","Women's","2013-01-01 00:00:00.000000"
"71110","Polar Wave","Acrylex lenses in the Polar Wave sunglasses absorb up to 90% of visible light, 96% ultraviolet, and 82% infrared light. Unbreakable nylon frames.","Polar","Personal Accessories","Eyewear","Black","One-size","2003-03-05 00:00:00.000000"
"72110","Polar Extreme","Ideal for skiing and winter mountaineering. Frame is durable polyurethane with soft interior foam and adjustable woven elastic band providing an excellent fit. Weight: 139 g.","Extreme","Personal Accessories","Eyewear","Black","One-size","2006-10-26 00:00:00.000000"
"73110","Single Edge","Single stainless steel blade folding knife. Length: (closed) 5 cm, (blade) 4.5 cm. Blade thickness 2 mm.  Weight: 90 g.","Edge","Personal Accessories","Knives","Black","9.5 cm","2001-02-15 00:00:00.000000"
"11110","Star Lite","A perfect tent for biking and hiking trips, compact and very light.  Features three shock cord aluminum poles, and three large mesh windows.  Packed size: 15 x 40 cm. Weight: 0.5 kg.","Star","Camping Equipment","Tents","Beige","Two-person","2001-02-15 00:00:00.000000"
"12110","Star Dome","Four pole geodesic dome mountain tent that comfortably fits two to three people. 10 mm aluminum poles, mesh pole sleeves and taped seams.  Packed size: 22 x 63 cm. Weight: 4.8 kg.","Star","Camping Equipment","Tents","Red","Three-person","2003-03-05 00:00:00.000000"
"13110","Star Gazer 2","The Star Gazer 2 is the Great Outdoor's most versatile tent.  It is a large two-person tent that is both durable and light weight.  Packed size: 18 x 70 cm. Weight: 2.6 kg.","Star","Camping Equipment","Tents","Light Blue","Two-person","2001-02-15 00:00:00.000000"
"14110","Star Gazer 3","The Star Gazer 3 features a water proof fly, mesh window and two doors for good ventilation.  Packed size: 20 x 70 cm. Weight: 5.3 kg.","Star","Camping Equipment","Tents","Red","Three-person","2003-03-05 00:00:00.000000"
"15110","Star Gazer 6","Massive cabin tent has ample room for six people. Mesh door and vent, T-style door.  Four side windows with storm flaps and three carry bags for tent and poles.","Star","Camping Equipment","Tents","Blue","Six-person","2003-03-05 00:00:00.000000"
"90110","BugShield Extreme","Highest amount of the active ingredient, 38%, for up to 10 hours of protection. Repels black flies, ticks, mosquitoes, deer flies and stable flies. Clear, odorless formula. 100 ml.","Extreme","Outdoor Protection","Insect Repellents","Clear","100 ml","2001-02-15 00:00:00.000000"
"91110","Sun Blocker","Sun Blocker is waterproof and lasts up to eight hours. It contains natural skin conditioners and moisturizers, as well as titanium dioxide for the ultimate level of protection.","Sun","Outdoor Protection","Sunscreen","White","330 ml","2001-02-15 00:00:00.000000"
"92110","Sun Shelter Stick","Easy to apply to your nose, lips, ears and other sensitive areas. Provides long-lasting protection from sun, wind and water to keep your skin soft and moist.","Sun","Outdoor Protection","Sunscreen","White","250 ml","2001-02-15 00:00:00.000000"
"93110","Sun Shelter 15","SPF 15 protects against all harmful rays.","Sun","Outdoor Protection","Sunscreen","White","330 ml","2001-02-15 00:00:00.000000"
"94110","Sun Shelter 30","SPF 30 provides maximum protection and is long-lasting.","Sun","Outdoor Protection","Sunscreen","White","330 ml","2001-02-15 00:00:00.000000"
"95110","Sun Shield","PABA free sunscreen, SPF 30, poison oak and ivy protectant, waterproof, insect repellent against fleas, mosquitoes, deer ticks, gnats.  Moisturizer contains Vitamin E and Lanolin.","Sun","Outdoor Protection","Sunscreen","White","250 ml","2001-02-15 00:00:00.000000"
"64110","Mountain Man Digital","Tough rubber strap, digital face, hardened crystal, water-resistant to 50 meters.","Mountain Man","Personal Accessories","Watches","Blue","One-size","2001-02-15 00:00:00.000000"
"53110","Firefly Climbing Lamp","This climbing lamp is water-resistant. It comes with two bulbs, standard and halogen. Includes one 6V halogen bulb and one 6V standard bulb. Weight: 200g.","Firefly","Mountaineering Equipment","Climbing Accessories","Grey","12-hour","2011-01-10 00:00:00.000000"
"54110","Firefly Charger","Power charger for the Firefly Climbing Lamp. The charger cannot overcharge the Firefly battery, so you can leave it in the charger without worrying.","Firefly","Mountaineering Equipment","Climbing Accessories","Black","Unspecified","2011-01-10 00:00:00.000000"
"55110","Firefly Rechargeable Battery","Rechargeable battery pack for the Firefly Climbing Lamp. Each charge gives 3 hours of light with a halogen bulb and 9 hours with standard bulb. Battery may be recharged up to 1,000 times.","Firefly","Mountaineering Equipment","Climbing Accessories","Yellow","Unspecified","2011-01-10 00:00:00.000000"
"56110","Granite Chalk Bag","Nylon web bag perfect for holding several sticks of chalk.","Granite","Mountaineering Equipment","Climbing Accessories","Multicolored","Medium","2011-01-10 00:00:00.000000"
"57110","Granite Ice","A general purpose mountaineering axe for snow and glacier travel. Excellent mid-weight axe. Weight: 638 g","Granite","Mountaineering Equipment","Tools","Silver","30 cm","2011-01-10 00:00:00.000000"
"74110","Double Edge","Double stainless steel blade folding knife. Length: (closed) 6 cm, (blades) 5.5 cm and 3 cm. Blade thickness: 2 mm. Weight: 110 g.","Edge","Personal Accessories","Knives","Red","14.5 cm","2001-02-15 00:00:00.000000"
"75110","Edge Extreme","Multi-purpose pocketknife ruggedly constructed of stainless steel.  Includes 4 different blades, corkscrew, saw, scissors, pliers and more.","Extreme","Personal Accessories","Knives","Red","14.5 cm","2006-10-26 00:00:00.000000"
"76110","Bear Edge","Knife is 33 cm long with a 20 cm blade made of surgical stainless steel. The handle is laminated wood. The custom made sheath is black leather.","Edge","Personal Accessories","Knives","Black","33 cm","2001-02-15 00:00:00.000000"
"77110","Bear Survival Edge","Features a 23 cm razor edge blade tempered from a special blend of stainless steel. The hollow handle has a compartment containing survival gear including a compass. Overall length: 36cm.","Edge","Personal Accessories","Knives","Silver","23 cm","2006-10-26 00:00:00.000000"
"78110","Seeker 35","This 7 x 35 model is economical and performs well optically. Fully coated lenses, compact and  lightweight. Rubber covered for secure and comfortable grip. Soft carrying case included.","Seeker","Personal Accessories","Binoculars","Black","Unspecified","2001-02-15 00:00:00.000000"
"128190","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.","Epoch","Personal Accessories","Eyewear","Yellow","Men's","2009-01-01 00:00:00.000000"
"128200","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.","Epoch","Personal Accessories","Eyewear","Camouflage","Men's","2011-10-01 00:00:00.000000"
"128210","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty.","Epoch","Personal Accessories","Eyewear","Black","Women's","2011-01-01 00:00:00.000000"
"129110","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.","Epoch","Personal Accessories","Watches","Black","Women's","2010-10-01 00:00:00.000000"
"129120","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.","Epoch","Personal Accessories","Watches","Blue","Women's","2012-01-01 00:00:00.000000"
"129130","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.","Epoch","Personal Accessories","Watches","Red","Women's","2010-02-01 00:00:00.000000"
"129140","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.","Epoch","Personal Accessories","Watches","Yellow","Men's","2013-04-01 00:00:00.000000"
"16110","Star Peg","A single tent peg made of heavy-duty plated steel. Long enough even for hard, rocky ground. Length: 25 cm","Star","Camping Equipment","Tents","Silver","25 cm","2003-03-05 00:00:00.000000"
"17110","Hibernator Lite","The Hibernator Lite is the perfect summer sleeping bag.  Light weight and comfortable down to 10°C.  The rectangular shape allows for easy pairing.  Weight with stuff sack: 1.0 kg.","Hibernator","Camping Equipment","Sleeping Bags","Light Blue","195 cm","2003-03-05 00:00:00.000000"
"18110","Hibernator","The Hibernator is a three-season sleeping bag. The rectangular shape allows for easy pairing. Nylon shell material.  8 cm loft.  Comfortable down to 0°C.  One size fits up to 195 cm.","Hibernator","Camping Equipment","Sleeping Bags","Light Blue","195 cm","2001-02-15 00:00:00.000000"
"19110","Hibernator Extreme","The Hibernator Extreme has all the features you need for four-season comfort.  Comfortable from -18° to 9°C. Silk comfort lining, nylon shell. Fits users to 195 cm, stuff sack included.","Extreme","Camping Equipment","Sleeping Bags","Dark Blue","195 cm","2006-10-26 00:00:00.000000"
"96110","Compact Relief Kit","A personal first aid kit is recommended for every outdoor hiker or camper. Contains basic wound management, advanced infectious control, and more. Size: 17 x 10 x 7 cm. Weight: 0.3 kg.","Relief","Outdoor Protection","First Aid","White","30-piece","2001-02-15 00:00:00.000000"
"97110","Deluxe Family Relief Kit","A complete medical kit suitable for families with children.  Contains cough syrup, oral rehydration salts, advanced wound management, and more.  Size: 22 x 12 x 7 cm. Weight: 0.6 kg.","Relief","Outdoor Protection","First Aid","White","60-piece","2003-03-05 00:00:00.000000"
"98110","Calamine Relief","Use the Calamine Relief for allergic skin reactions, helps combat itching and swelling.","Relief","Outdoor Protection","First Aid","Clear","250 ml","2001-02-15 00:00:00.000000"
"99110","Aloe Relief","Perfect for minor burns and sunburn, the aloe vera provides quick relief.","Relief","Outdoor Protection","First Aid","Clear","330 ml","2001-02-15 00:00:00.000000"
"58110","Granite Hammer","A solid hammer made with a solid hard wood handle and steel head.  Weight: 800g.","Granite","Mountaineering Equipment","Tools","Brown","30 cm","2011-01-10 00:00:00.000000"
"59110","Granite Shovel","Shovel has removable aluminum handle and heat treated aluminum blade.","Granite","Mountaineering Equipment","Tools","Black","55 cm","2011-01-10 00:00:00.000000"
"60110","Granite Grip","All-purpose stainless steel pliers. Sheath included. Length (closed) 12cm, (open) 16 cm. Weight: 200 g.","Granite","Mountaineering Equipment","Tools","Red","12 cm","2011-01-10 00:00:00.000000"
"61110","Granite Axe","Camping axe with clear coated wood handle.","Granite","Mountaineering Equipment","Tools","Brown","61 cm","2011-01-10 00:00:00.000000"
"62110","Granite Extreme","The Edge Extreme is a collapsible plier-shaped gadget, three knife blades, file and scissors, perfect for the outdoors.  Carrying case included.","Extreme","Mountaineering Equipment","Tools","Silver","25 cm","2011-01-10 00:00:00.000000"
"63110","Mountain Man Analog","Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal.","Mountain Man","Personal Accessories","Watches","Green","Men's","2001-02-15 00:00:00.000000"
"79110","Seeker 50","Rubber coated and ergonomically designed. The wide angle of view of 10 x 50 keeps more of your subject in view at high magnification. Soft carrying case included.","Seeker","Personal Accessories","Binoculars","Black","Unspecified","2001-02-15 00:00:00.000000"
"80110","Seeker Extreme","These ergonomic binoculars are light-weight and easy to hold.  Strong construction make them impervious to water, fog and thermal shocks. Soft carrying case included.","Extreme","Personal Accessories","Binoculars","Black","Unspecified","2003-03-05 00:00:00.000000"
"81110","Seeker Mini","This 8 x 22 model is economical and performs well optically. Fully coated lenses, compact and  light-weight. Rubber covered for secure and comfortable grip. Soft carrying case included.","Seeker","Personal Accessories","Binoculars","Black","Unspecified","2003-03-05 00:00:00.000000"
"82110","Glacier Basic","Traditional magnetic compass in a stainless steel casing.","Glacier","Personal Accessories","Navigation","Silver","Unspecified","2003-03-05 00:00:00.000000"
"129150","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.","Epoch","Personal Accessories","Watches","Black","Men's","2011-01-01 00:00:00.000000"
"129160","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.","Epoch","Personal Accessories","Watches","Yellow","Men's","2009-01-01 00:00:00.000000"
"129170","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.","Epoch","Personal Accessories","Watches","Blue","Men's","2012-01-01 00:00:00.000000"
"129180","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty.","Epoch","Personal Accessories","Watches","Red","Men's","2009-01-01 00:00:00.000000"
"130110","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.","Xray","Personal Accessories","Watches","Black","One-size","2009-01-01 00:00:00.000000"
"130120","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.","Xray","Personal Accessories","Watches","Brown","One-size","2012-10-01 00:00:00.000000"
"130130","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.","Xray","Personal Accessories","Watches","Silver","One-size","2009-01-01 00:00:00.000000"
"130140","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.","Xray","Personal Accessories","Watches","White","One-size","2013-01-01 00:00:00.000000"
"20110","Hibernator Self - Inflating Mat","Mattress is made of extra-thick foam. Mesh stuff sack included for easy carrying and storage. Repair kit included.","Hibernator","Camping Equipment","Sleeping Bags","Blue","195 cm","2003-03-05 00:00:00.000000"
"21110","Hibernator Pad","Warms up quickly for snow camping comfort. The Hibernator Pad will resist cracking in temperatures as low as -30°C.","Hibernator","Camping Equipment","Sleeping Bags","Grey","195 cm","2001-02-15 00:00:00.000000"
"22110","Hibernator Pillow","Camp pillow is filled with soft, luxurious fibers for maximum compactness and resiliency. Covered with soft cotton on one side and soft flannel on the other.","Hibernator","Camping Equipment","Sleeping Bags","Purple","Unspecified","2001-02-15 00:00:00.000000"
"23110","Hibernator Camp Cot","Aluminum frame camp cot that is lightweight and durable.  Size: 100 x 225 x 50 cm.  Weight: 7 kg.","Hibernator","Camping Equipment","Sleeping Bags","Brown","225 cm","2003-03-05 00:00:00.000000"
"24110","Canyon Mule Climber Backpack","This pack is perfect for day trips and short hikes. Also great for students.  Separate front compartment, multi-layered interior organizer, 2 cm waist belt, 32,000 cu. cm.","Canyon Mule","Camping Equipment","Packs","Red","32000 cc","2003-03-05 00:00:00.000000"
"100110","Insect Bite Relief","The Insect Bite Relief helps the itching and swelling caused by most insect bites.","Relief","Outdoor Protection","First Aid","Clear","250 ml","2001-02-15 00:00:00.000000"
"101110","Hailstorm Steel Irons","Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge.","Hailstorm","Golf Equipment","Irons","Silver","Men's","2009-12-15 00:00:00.000000"
"102110","Hailstorm Titanium Irons","Made entirely of pure titanium. The ultimate in golf club technology. Lightweight graphite shaft and light overall weight. Includes 3 iron to Pitching Wedge.","Hailstorm","Golf Equipment","Irons","Silver","Men's","2009-12-10 00:00:00.000000"
"103110","Lady Hailstorm Steel Irons","Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge.","Hailstorm","Golf Equipment","Irons","Silver","Women's","2009-12-10 00:00:00.000000"
"104110","Lady Hailstorm Titanium Irons","Made entirely of pure titanium. A wider sole and loft system to help you get the ball airborne with less effort. Includes 3 iron to Pitching Wedge.","Hailstorm","Golf Equipment","Irons","Silver","Women's","2009-12-18 00:00:00.000000"
"63130","Mountain Man Analog","Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal.","Mountain Man","Personal Accessories","Watches","Orange","Women's","2011-01-01 00:00:00.000000"
"63140","Mountain Man Analog","Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal.","Mountain Man","Personal Accessories","Watches","Orange","Men's","2011-01-01 00:00:00.000000"
"147180","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light.","Relax","Personal Accessories","Eyewear","Silver","Men's","2009-01-01 00:00:00.000000"
"65110","Mountain Man Deluxe","Tough rubber strap, precision Swiss quartz movement, imbedded digital face, luminous hands and markers, hardened mineral crystal, start and stop buttons, water-resistant to 50 meters.","Mountain Man","Personal Accessories","Watches","Red","Women's","2003-03-05 00:00:00.000000"
"65120","Mountain Man Deluxe","Tough rubber strap, precision Swiss quartz movement, imbedded digital face, luminous hands and markers, hardened mineral crystal, start and stop buttons, water-resistant to 50 meters.","Mountain Man","Personal Accessories","Watches","Red","Men's","2012-01-01 00:00:00.000000"
"83110","Glacier Deluxe","Magnetic Compass has a large sighting mirror with v-notch allowing for quick acquisition and accurate bearings to distant landmarks.","Glacier","Personal Accessories","Navigation","Black","Unspecified","2003-03-05 00:00:00.000000"
"84110","Glacier GPS","Global Positioning System that is small, lightweight, and rugged. Incredibly easy to use, dedicated operation keys, and three user-friendly navigation screens.","Glacier","Personal Accessories","Navigation","Black","Unspecified","2003-03-05 00:00:00.000000"
"85110","Glacier GPS Extreme","Hand held GPS receiver with color display. Incredibly easy to use, three user-friendly navigation screens, and saves two routes. Up to 20 hours of battery life just on two AA batteries.","Extreme","Personal Accessories","Navigation","Black","Unspecified","2005-06-12 00:00:00.000000"
"86110","BugShield Natural","Contains no chemicals. Repels mosquitoes, black flies, biting midges, and fleas effectively. Safe for children and environmentally sound.  Active ingredient: Citronella 10%. 100 ml.","BugShield","Outdoor Protection","Insect Repellents","Clear","100 ml","2001-02-15 00:00:00.000000"
"87110","BugShield Spray","Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Clear, odorless formula. 100 ml.","BugShield","Outdoor Protection","Insect Repellents","Clear","100 ml","2001-02-15 00:00:00.000000"
"130150","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.","Xray","Personal Accessories","Watches","Yellow","One-size","2013-04-01 00:00:00.000000"
"131110","Max Gizmo","A versatile pocket tool that includes LED light, 1GB memory stick, pen, serrated blade, corkscrew and serrated cutter. Comes with a life time warranty.","Trakker","Personal Accessories","Knives","Red","11 cm","2010-05-01 00:00:00.000000"
"131120","Max Gizmo","A versatile pocket tool that includes LED light, 1GB memory stick, pen, serrated blade, corkscrew and serrated cutter. Comes with a life time warranty.","Trakker","Personal Accessories","Knives","Silver","11 cm","2009-01-01 00:00:00.000000"
"131130","Max Gizmo","A versatile pocket tool that includes LED light, 1GB memory stick, pen, serrated blade, corkscrew and serrated cutter. Comes with a life time warranty.","Trakker","Personal Accessories","Knives","Camouflage","11 cm","2012-01-01 00:00:00.000000"
"132110","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty.","Alpha","Personal Accessories","Eyewear","Black","Men's","2009-01-01 00:00:00.000000"
"25110","Canyon Mule Weekender Backpack","A weekend getaway requires this pack.  It features a large front compression pocket, harness and waist belt, foam molded back panel, vinyl covered gear loops.  50,000 cu. cm.","Canyon Mule","Camping Equipment","Packs","Blue","50000 cc","2001-02-15 00:00:00.000000"
"26110","Canyon Mule Journey Backpack","Set of three packs: handlebar pack, front pack and rear pack.  Designed to fit most mountain bikes.  Includes mounting hardware.  Total volume: 66,000 cu. cm.","Canyon Mule","Camping Equipment","Packs","Black","66000 cc","2001-02-15 00:00:00.000000"
"27110","Canyon Mule Extreme Backpack","Perfect for long back country trips, this pack features an expandable front pocket, includes a large sleeping bag compartment, padded shoulder harness, back and waist belt. 90,000 cu. cm.","Extreme","Camping Equipment","Packs","Blue","90000 cc","2003-03-05 00:00:00.000000"
